3
3
ploting data
good
t=264h=11day
8
Depth(m)	    Sw	
5.02E-03	5.74E-01
1.50E-02	5.88E-01
2.51E-02	5.83E-01
3.25E-02	5.69E-01
3.76E-02	5.55E-01
4.25E-02	5.47E-01
4.64E-02	5.08E-01
4.86E-02	5.22E-01

t=264h=11day
8
Depth(m)	    Sw	
5.02E-03	5.74E-01
1.50E-02	5.88E-01
2.51E-02	5.83E-01
3.25E-02	5.69E-01
3.76E-02	5.55E-01
4.25E-02	5.47E-01
4.64E-02	5.08E-01
4.86E-02	5.22E-01

t=264h=11day
8							
Depth(m)	    Sw					
5.02E-03	5.74E-01
1.50E-02	5.88E-01
2.51E-02	5.83E-01
3.25E-02	5.69E-01
3.76E-02	5.55E-01
4.25E-02	5.47E-01
4.64E-02	5.08E-01
4.86E-02	5.22E-01

96h
8					
depth(m)  	salinity
5.02E-03	3.14E-03
1.51E-02	3.14E-03
2.51E-02	3.14E-03
3.26E-02	3.14E-03
3.50E-02	3.04E-03
4.25E-02	4.68E-03
4.63E-02	2.68E-02
4.99E-02	2.31E-01

168h	
8						
depth(m)  	salinity
5.02E-03	3.28E-03
1.53E-02	3.14E-03
2.49E-02	3.23E-03
3.25E-02	3.14E-03
3.78E-02	3.55E-03
4.26E-02	8.03E-03
4.63E-02	4.01E-02
4.99E-02	2.30E-01

264h	
8						
depth(m)  	salinity		
5.02E-03	3.28E-03
1.53E-02	3.14E-03
2.49E-02	3.23E-03
3.25E-02	3.14E-03
3.78E-02	3.55E-03
4.26E-02	8.03E-03
4.63E-02	4.01E-02
4.99E-02	2.30E-01
												
soil surface loss (84)DATA				
22	
day	        evaporation
2.29E-01	1.43E+01
7.16E-01	1.20E+01
1.23E+00	1.04E+01
1.75E+00	9.26E+00
2.23E+00	9.44E+00
2.75E+00	7.70E+00
3.24E+00	8.36E+00
3.75E+00	8.65E+00
4.24E+00	8.23E+00
4.73E+00	8.53E+00
5.21E+00	7.93E+00
5.76E+00	7.63E+00
6.27E+00	7.09E+00
6.76E+00	7.32E+00
7.22E+00	7.02E+00
7.70E+00	7.26E+00
8.25E+00	7.14E+00
8.74E+00	7.07E+00
9.22E+00	6.83E+00
9.74E+00	6.77E+00
1.03E+01	6.41E+00
1.07E+01	6.41E+00
												
ground water loss
22	
day	        evaporation
2.29E-01	1.43E+01
7.16E-01	1.20E+01
1.23E+00	1.04E+01
1.75E+00	9.26E+00
2.23E+00	9.44E+00
2.75E+00	7.70E+00
3.24E+00	8.36E+00
3.75E+00	8.65E+00
4.24E+00	8.23E+00
4.73E+00	8.53E+00
5.21E+00	7.93E+00
5.76E+00	7.63E+00
6.27E+00	7.09E+00
6.76E+00	7.32E+00
7.22E+00	7.02E+00
7.70E+00	7.26E+00
8.25E+00	7.14E+00
8.74E+00	7.07E+00
9.22E+00	6.83E+00
9.74E+00	6.77E+00
1.03E+01	6.41E+00
1.07E+01	6.41E+00
