3
3
ploting data
good
t=264h=11day
8
Depth(m)	    Sw	
5.01E-03	2.75E-01
1.50E-02	2.28E-01
2.51E-02	2.22E-01
3.23E-02	2.00E-01
3.75E-02	2.05E-01
4.24E-02	1.76E-01
4.62E-02	1.71E-01
4.90E-02	1.78E-01

t=264h=11day
8
Depth(m)	    Sw	
5.01E-03	2.75E-01
1.50E-02	2.28E-01
2.51E-02	2.22E-01
3.23E-02	2.00E-01
3.75E-02	2.05E-01
4.24E-02	1.76E-01
4.62E-02	1.71E-01
4.90E-02	1.78E-01

t=264h=11day
8							
Depth(m)	    Sw					
5.01E-03	2.75E-01
1.50E-02	2.28E-01
2.51E-02	2.22E-01
3.23E-02	2.00E-01
3.75E-02	2.05E-01
4.24E-02	1.76E-01
4.62E-02	1.71E-01
4.90E-02	1.78E-01

48h
8					
depth(m)  	salinity
4.87E-03	2.94E-03
1.49E-02	3.11E-03
2.51E-02	3.06E-03
3.25E-02	2.83E-03
3.74E-02	2.96E-03
4.27E-02	3.04E-03
4.62E-02	6.93E-03
4.99E-02	2.33E-01

144h	
8						
depth(m)  	salinity
4.76E-03	3.17E-03
1.48E-02	3.07E-03
2.49E-02	3.11E-03
3.24E-02	3.10E-03
3.73E-02	3.19E-03
4.24E-02	3.99E-03
4.62E-02	2.96E-02
5.00E-02	2.31E-01

192h	
8						
depth(m)  	salinity		
4.76E-03	3.08E-03
1.48E-02	3.16E-03
2.49E-02	3.11E-03
3.25E-02	3.10E-03
3.77E-02	3.38E-03
4.25E-02	5.63E-03
4.61E-02	4.25E-02
4.99E-02	2.36E-01
												
soil surface loss (84)DATA				
16	
day	        evaporation
2.31E-01	1.81E+01
7.26E-01	1.09E+01
1.25E+00	9.62E+00
1.75E+00	8.50E+00
2.23E+00	7.22E+00
2.72E+00	7.22E+00
3.22E+00	6.72E+00
3.73E+00	6.34E+00
4.22E+00	5.97E+00
4.70E+00	6.22E+00
5.25E+00	5.68E+00
5.74E+00	5.63E+00
6.24E+00	5.01E+00
6.71E+00	5.67E+00
7.24E+00	5.38E+00
7.75E+00	5.75E+00
												
ground water loss
16	
day	        evaporation
2.31E-01	1.81E+01
7.26E-01	1.09E+01
1.25E+00	9.62E+00
1.75E+00	8.50E+00
2.23E+00	7.22E+00
2.72E+00	7.22E+00
3.22E+00	6.72E+00
3.73E+00	6.34E+00
4.22E+00	5.97E+00
4.70E+00	6.22E+00
5.25E+00	5.68E+00
5.74E+00	5.63E+00
6.24E+00	5.01E+00
6.71E+00	5.67E+00
7.24E+00	5.38E+00
7.75E+00	5.75E+00
